"id","german_term","context_source","our_proposed_english","distinction_we_are_trying_to_preserve","duden_dwds_status","REVIEW_verdict","REVIEW_better_english","REVIEW_notes","REVIEW_confidence"
"MS-020","Fertigstellungstermin","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:117; no project-specific official English counterpart found in the 2026-08-06 pass.","completion date","May be expressly unreliable or unknown","D; DWDS blocked","","","",""
"MS-021","Gesamtfertigstellung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:118; no project-specific official English counterpart found in the 2026-08-06 pass.","overall completion","Distinct from phase completion or traffic release","S; DWDS blocked","","","",""
"MS-022","Abschluss des ersten Bauabschnitts","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:119; no project-specific official English counterpart found in the 2026-08-06 pass.","completion of the first construction phase","Phase-only milestone","S; DWDS blocked","","","",""
"MS-023","Baumaßnahme abgeschlossen","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:120; no project-specific official English counterpart found in the 2026-08-06 pass.","construction measure completed","Retain the exact measure boundary","S; DWDS blocked","","","",""
"MS-024","Bauabnahme","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:121; no project-specific official English counterpart found in the 2026-08-06 pass.","construction acceptance","Acceptance milestone; not automatically public opening","D; DWDS blocked","","","",""
"PRIORITY-C010-01__MS-025","Übergabe","C-010; Bezirksamt Friedrichshain-Kreuzberg; published 2023-12-21; source wording: Die Fertigstellung und Übergabe der neuen Schule sollen zum Schuljahresbeginn 2026/27 erfolgen.; https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2023/pressemitteilung.1399078.php","handover","The German wording places Fertigstellung and Übergabe together. The review must determine whether they denote one combined event or two milestones, while retaining sollen and Schuljahresbeginn 2026/27.","D; DWDS blocked","","","",""
"MS-026","Übergabe an den Bezirk","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:123; no project-specific official English counterpart found in the 2026-08-06 pass.","handover to the district","Distinct from construction completion and opening","S; DWDS blocked","","","",""
"MS-027","Eröffnung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:124; no project-specific official English counterpart found in the 2026-08-06 pass.","opening","Public/institutional opening; not necessarily construction end","D; DWDS blocked","","","",""
"MS-028","Umzug","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:125; no project-specific official English counterpart found in the 2026-08-06 pass.","move","Operational transition after building completion","D; DWDS blocked","","","",""
"MS-029","Aufnahme des Unterrichtsbetriebes","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:126; no project-specific official English counterpart found in the 2026-08-06 pass.","start of teaching operations","School service-start milestone","S; DWDS blocked","","","",""
"MS-030","Inbetriebnahme","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:127; official parallel English found: C-019: https://www.berlin.de/en/news/10361011-5559700-district-heating-from-surplus-electricit.en.html","commissioning / entry into operation","Distinct from physical completion and public opening","D; DWDS blocked","","","",""
"MS-031","Verkehrsfreigabe","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:128; no project-specific official English counterpart found in the 2026-08-06 pass.","opening to traffic","Traffic milestone; not automatically project completion","S; DWDS blocked","","","",""
"MS-032","Regionalzüge werden dort ab … halten","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:129; no project-specific official English counterpart found in the 2026-08-06 pass.","regional trains will call there from …","Service-start wording; not necessarily physical completion","S; DWDS blocked","","","",""
"MS-033","Bezugsfertigkeit","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:130; no project-specific official English counterpart found in the 2026-08-06 pass.","ready for occupancy","Distinct from actual occupancy","S; DWDS blocked","","","",""
"MS-034","bezogen","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:131; no project-specific official English counterpart found in the 2026-08-06 pass.","occupied / moved into","Actual occupancy wording","D component; DWDS blocked","","","",""
"MS-035","Planreife","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:132; no project-specific official English counterpart found in the 2026-08-06 pass.","planning maturity","Planning milestone, not construction end","S; DWDS blocked","","","",""
"MS-036","Bebauungsplanverfahren","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:133; no project-specific official English counterpart found in the 2026-08-06 pass.","development-plan procedure","Statutory planning process","S + A; DWDS blocked","","","",""
"MS-037","Bauleitplanung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:134; no project-specific official English counterpart found in the 2026-08-06 pass.","land-use planning","Planning family, not construction","D + A; DWDS blocked","","","",""
"MS-038","Rahmenplan","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:135; no project-specific official English counterpart found in the 2026-08-06 pass.","framework plan","Planning document","D; DWDS blocked","","","",""
"MS-039","Werkstattverfahren","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:136; no project-specific official English counterpart found in the 2026-08-06 pass.","workshop planning process","Participatory/design process, not construction","D; DWDS blocked","","","",""
"MS-040","Vorbereitende Untersuchungen","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:137; no project-specific official English counterpart found in the 2026-08-06 pass.","preparatory investigations","Pre-development/planning stage","S; DWDS blocked","","","",""
"MS-041","Realisierungswettbewerb","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:138; no project-specific official English counterpart found in the 2026-08-06 pass.","design competition for implementation","Competition stage; implementation is not guaranteed","D; DWDS blocked","","","",""
"MS-042","Erschließung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:139; no project-specific official English counterpart found in the 2026-08-06 pass.","site servicing / infrastructure provision","May be a separate project from building construction","D + A; DWDS blocked","","","",""
"MS-043","Projektzeitraum","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:140; no project-specific official English counterpart found in the 2026-08-06 pass.","project period","Endpoint is not automatically a completion milestone","D; DWDS blocked","","","",""
"MS-044","Laufzeit","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:141; no project-specific official English counterpart found in the 2026-08-06 pass.","duration / project period","Retain whether it describes planning, funding or works","D; DWDS blocked","","","",""
"MS-045","Gesamtmaßnahme","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:142; no project-specific official English counterpart found in the 2026-08-06 pass.","overall measure","Scope-control term; verify included phases","D; DWDS blocked","","","",""
"PRIORITY-C010-05__MS-047","Endfertigstellung","C-010; HOWOGE project overview; publication date not stated; source wording: Die Endfertigstellung ist für 2026 vorgesehen.; https://www.howoge.de/schulbau/heinrich-hertz-gymnasium-projektuebersicht","final completion","The review must determine whether Endfertigstellung differs here from Fertigstellung, bauliche Fertigstellung, vollständige Fertigstellung or Gesamtfertigstellung, while retaining vorgesehen.","not in glossary v1.0 verification pass","","","",""
"PRIORITY-C010-03__MS-048","technische Übergabe","C-010; SenBJF, Drucksache 19/26230; answer dated 2026-06-19; source wording: Die technische Übergabe des Neubaus an den Bezirk ist für den 31.08.2026 geplant.; https://pardok.parlament-berlin.de/starweb/adis/citat/VT/19/SchrAnfr/S19-26230.pdf","technical handover","The wording may separate this event from physical construction completion, general handover, occupancy, commissioning and opening. The review must decide which distinctions apply in this context.","not in glossary v1.0 verification pass","","","",""
"MS-048","Bauplanungsunterlage (BPU)","docs/glossary.md — Milestones, phases and status terms; no matching row in docs/research/glossary-verification.md v1.0 term table.","building planning documents","Approval of the BPU is a dated planning milestone with its own approved cost; it is not construction start","not in glossary v1.0 verification pass","","","",""
"MS-049","Generalübernehmer","docs/glossary.md — Milestones, phases and status terms; no matching row in docs/research/glossary-verification.md v1.0 term table.","general contractor (turnkey)","Distinct from Bauherr; a single source may label one organization both, and the tier follows the documented role","not in glossary v1.0 verification pass","","","",""
"MS-050","Schuljahresbeginn","docs/glossary.md — Milestones, phases and status terms; no matching row in docs/research/glossary-verification.md v1.0 term table.","start of the school year","A relative anchor, not a date. Resolve against the Berlin Ferienordnung for the year in question; store the anchor as canonical and the resolved date as derived","not in glossary v1.0 verification pass","","","",""
"FIN-001","Kosten","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:143; official parallel English found: C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","costs","Untyped amount; do not normalize without measure context","D; DWDS blocked","","","",""
"FIN-002","Gesamtkosten","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:144; no project-specific official English counterpart found in the 2026-08-06 pass.","total costs","Retain scope, tax, price basis and as-of date","D; DWDS blocked","","","",""
"FIN-003","Gesamtbausumme","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:145; no project-specific official English counterpart found in the 2026-08-06 pass.","total construction sum","Construction-only scope may differ from total project cost","S; DWDS blocked","","","",""
"FIN-004","voraussichtliche Gesamtkosten","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:146; no project-specific official English counterpart found in the 2026-08-06 pass.","expected total costs","Forecast, not actual expenditure or final cost","S; DWDS blocked","","","",""
"FIN-005","Planungskosten","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:147; no project-specific official English counterpart found in the 2026-08-06 pass.","planning costs","Separate from construction costs","D; DWDS blocked","","","",""
"FIN-006","Baukosten","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:148; no project-specific official English counterpart found in the 2026-08-06 pass.","construction costs","Separate from planning, land, equipment and finance","D; DWDS blocked","","","",""
"FIN-007","Investitionsvolumen","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:149; no project-specific official English counterpart found in the 2026-08-06 pass.","investment volume","Not automatically a budget or final cost","D; DWDS blocked","","","",""
"FIN-008","Investitionen","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:150; no project-specific official English counterpart found in the 2026-08-06 pass.","investments","Plural/aggregate unless project scope is explicit","D component; DWDS blocked","","","",""
"FIN-009","Investitionsmittel","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:151; no project-specific official English counterpart found in the 2026-08-06 pass.","investment funds","Funding availability, not expenditure","D; DWDS blocked","","","",""
"FIN-010","Investitionsrahmen","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:152; no project-specific official English counterpart found in the 2026-08-06 pass.","investment envelope","Authorization/envelope, not actual cost","D; DWDS blocked","","","",""
"FIN-011","Finanzierung","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:153; official parallel English found: C-019: https://www.berlin.de/en/news/10361011-5559700-district-heating-from-surplus-electricit.en.html","financing","Funding arrangement, not project cost","D; DWDS blocked","","","",""
"FIN-012","Finanzierung aus Haushalt Berlin","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:154; no project-specific official English counterpart found in the 2026-08-06 pass.","financing from the Berlin budget","Funding source; retain budget reference","S; DWDS blocked","","","",""
"FIN-013","Finanzierungsvereinbarung","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:155; no project-specific official English counterpart found in the 2026-08-06 pass.","financing agreement","Agreement, not proof of payment","D; DWDS blocked","","","",""
"FIN-014","Ergänzungsunterlage zur Finanzierung","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:156; no project-specific official English counterpart found in the 2026-08-06 pass.","supplementary financing document","Document type, not a financial measure","S; DWDS blocked","","","",""
"FIN-015","haushalterische Grundlage","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:157; no project-specific official English counterpart found in the 2026-08-06 pass.","budgetary basis","Authorization context","S; DWDS blocked","","","",""
"FIN-016","finanziert aus dem Plätzeprogramm","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:158; no project-specific official English counterpart found in the 2026-08-06 pass.","financed from the public-squares programme","Funding source, not total project cost","S; DWDS blocked","","","",""
"FIN-017","Finanzierungslücke","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:159; no project-specific official English counterpart found in the 2026-08-06 pass.","funding gap","Gap against a stated need; retain comparison basis","D; DWDS blocked","","","",""
"FIN-018","GRW-Mittel","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:160; no project-specific official English counterpart found in the 2026-08-06 pass.","GRW funds","Funding-programme money; retain programme and year","S + A; DWDS blocked","","","",""
"FIN-019","Zuschüsse","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:161; no project-specific official English counterpart found in the 2026-08-06 pass.","grants / subsidies","Funding contribution, not total cost","D component; DWDS blocked","","","",""
"FIN-020","Ausgaben","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:162; no project-specific official English counterpart found in the 2026-08-06 pass.","expenditure","Retain planned versus actual and period","D component + A; DWDS blocked","","","",""
"FIN-021","Verpflichtungsermächtigung","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:163; no project-specific official English counterpart found in the 2026-08-06 pass.","commitment authorization","Authority to enter future commitments; not expenditure","A; Duden/DWDS unavailable","","","",""
"FIN-022","Einzelplan","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:164; no project-specific official English counterpart found in the 2026-08-06 pass.","departmental budget","Budget hierarchy term","D + A; DWDS blocked","","","",""
"FIN-023","Kapitel","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:165; no project-specific official English counterpart found in the 2026-08-06 pass.","budget chapter","Budget hierarchy term","D + A; DWDS blocked","","","",""
"FIN-024","Nachtragsleistungen","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:166; no project-specific official English counterpart found in the 2026-08-06 pass.","additional contract services","Do not infer a project cost overrun","D component; DWDS blocked","","","",""
"FIN-025","Baupreisindex","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:167; no project-specific official English counterpart found in the 2026-08-06 pass.","construction price index","Price-adjustment context, not an amount itself","A; Duden/DWDS unavailable","","","",""
"FIN-026","geschätzt","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:168; no project-specific official English counterpart found in the 2026-08-06 pass.","estimated","Qualifier; retain estimate basis and as-of date","D; DWDS blocked","","","",""
"FIN-027","Realisierungsverträge","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:169; no project-specific official English counterpart found in the 2026-08-06 pass.","implementation agreements","Contract family; not an award value","S; DWDS blocked","","","",""
"FIN-028","Einbringungsverträge","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:170; no project-specific official English counterpart found in the 2026-08-06 pass.","contribution/transfer agreements","Delivery/legal instrument; do not infer ownership or value","S; DWDS blocked","","","",""
"FIN-029","Investorenprojekt","docs/glossary.md — Financial, budget and procurement-context terms; docs/research/glossary-verification.md:171; no project-specific official English counterpart found in the 2026-08-06 pass.","investor-led project","Delivery context, not a documented organization role by itself","S; DWDS blocked","","","",""
"MOD-001","bis","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:172; official parallel English found: C-019: https://www.berlin.de/en/news/10361011-5559700-district-heating-from-surplus-electricit.en.html","by / no later than","Makes the date an upper bound. bis Ende 2028 is not equivalent to the point estimate Ende 2028.","S; DWDS blocked","","","",""
"MOD-002","ab","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:173; official parallel English found: C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","from / starting","Marks when a state or service begins; it does not establish completion of construction works.","S; DWDS blocked","","","",""
"MOD-003","Anfang / Mitte / Ende","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:174; official parallel English found: C-019: https://www.berlin.de/en/news/10361011-5559700-district-heating-from-surplus-electricit.en.html","early / mid / late","Adds sub-year precision that must be retained and never rounded to the bare year.","D; DWDS blocked","","","",""
"MOD-004","voraussichtlich","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:175; no project-specific official English counterpart found in the 2026-08-06 pass.","expected","Marks explicit uncertainty and must never be dropped in display.","D; DWDS blocked","","","",""
"MOD-005","geplant","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:176; official parallel English found: C-019: https://www.berlin.de/en/news/10361011-5559700-district-heating-from-surplus-electricit.en.html","planned","Records an intention as at the source publication date, not an accomplished fact.","D; DWDS blocked","","","",""
"MOD-006","vorgesehen","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:177; official parallel English found: C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","envisaged","Expresses a weaker intention than geplant and often applies at programme rather than project level.","D; DWDS blocked","","","",""
"MOD-007","anvisiert / angestrebt","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:178; no project-specific official English counterpart found in the 2026-08-06 pass.","targeted / aimed for","Marks an aspiration rather than a commitment or fact.","D components; DWDS blocked","","","",""
"MOD-008","soll","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:179; official parallel English found: C-001: https://www.berlin.de/en/news/7675155-5559700-full-closure-elsenbruecke-saturday.en.html, C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","is to / is supposed to","Adds modal obligation or expectation; it is not a commitment and not a fact.","D component; DWDS blocked","","","",""
"MOD-009","frühestens","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:180; no project-specific official English counterpart found in the 2026-08-06 pass.","at the earliest","Makes the date a lower bound.","D; DWDS blocked","","","",""
"MOD-010","spätestens","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:181; no project-specific official English counterpart found in the 2026-08-06 pass.","at the latest","Makes the date an upper bound.","D; DWDS blocked","","","",""
"MOD-011","rund / etwa / ca.","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:182; official parallel English found: C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","approximately","Reduces precision; the approximation qualifier must be retained.","D components; DWDS blocked","","","",""
"MOD-012","geschätzt","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:183; no project-specific official English counterpart found in the 2026-08-06 pass.","estimated","Marks an estimate whose basis and as-of date must be retained.","D; DWDS blocked","","","",""
"MOD-013","nicht belastbar","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:184; no project-specific official English counterpart found in the 2026-08-06 pass.","not reliable","Records source-stated unreliability and must be preserved as an explicit uncertainty claim.","D component; DWDS blocked","","","",""
"MOD-014","Stand","docs/glossary.md — Date qualifiers and modal wording; docs/research/glossary-verification.md:185; no project-specific official English counterpart found in the 2026-08-06 pass.","as at (date)","Sets the as-of date governing the whole statement and is critical to change history.","D; DWDS blocked","","","",""
"MOD-015","bis zu (before an amount)","docs/glossary.md — Date qualifiers and modal wording; no matching row in docs/research/glossary-verification.md v1.0 term table.","up to","Upper bound on a sum. Distinct in kind from bis before a date; bis zu 75 Millionen Euro is a financing ceiling, not a cost.","not in glossary v1.0 verification pass","","","",""
"MOD-016","nach jetzigem Planungsstand","docs/glossary.md — Date qualifiers and modal wording; no matching row in docs/research/glossary-verification.md v1.0 term table.","as at the current state of planning","An as-of hedge tied to the publication date. Weaker than geplant and not equivalent to voraussichtlich; it dates the claim rather than qualifying the outcome.","not in glossary v1.0 verification pass","","","",""
